text,sentiment,labels
Kaichou wa Maid-sama!,positive,2
Motto To LOVE-Ru,positive,2
Chikyuu Bouei Kigyou Dai-Guard,positive,2
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,positive,2
Inbo,negative,0
Ookami to Koushinryou II,negative,0
Kami nomi zo Shiru Sekai,positive,2
Seiyou Kottou Yougashiten: Antique,negative,0
Komori-san wa Kotowarenai!,negative,0
Ghost in the Shell 2: Innocence,positive,2
Persona 4 the Animation: The Factor of Hope,positive,2
Kuroshitsuji,positive,2
Shakugan no Shana III (Final),positive,2
Clannad: After Story,positive,2
Myself; Yourself,positive,2
Death Note,positive,2
Zoids,positive,2
Another,negative,0
Choujigen Game Neptune The Animation,negative,0
Shin Megami Tensei: Tokyo Mokushiroku,positive,2
Kiss x Sis,negative,0
No Game No Life,positive,2
Tenrankai no E,positive,2
Magi: The Kingdom of Magic,positive,2
Kyattou Ninden Teyandee,negative,0
Amagi Brilliant Park,positive,2
Myself; Yourself,positive,2
"Saikin, Imouto no Yousu ga Chotto Okashiinda ga.",positive,2
Durarara!! Specials,positive,2
Kamisama Kazoku,positive,2
Mashiro-iro Symphony: The Color of Lovers,negative,0
Zero no Tsukaima: Princesses no Rondo,positive,2
One Piece: Episode of Luffy - Hand Island no Bouken,positive,2
Shakugan no Shana Specials,negative,0
Boruto: Naruto the Movie,negative,0
Suzumiya Haruhi no Yuuutsu,positive,2
Ichiban Ushiro no Daimaou,negative,0
Natsume Yuujinchou,positive,2
Sora no Manimani,neutral,1
Elfen Lied,positive,2
Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru &quot;LIPS Eizou&quot;,positive,2
Ouran Koukou Host Club,positive,2
Summer Wars,positive,2
K-On!,positive,2
Paprika,positive,2
Kuroshitsuji II,positive,2
Ikkitousen: Dragon Destiny,negative,0
Isuca,positive,2
Shakugan no Shana II (Second),positive,2
Kami nomi zo Shiru Sekai,positive,2
Blood Lad,positive,2
Kuroko no Basket 3rd Season,positive,2
Sora no Otoshimono: Forte,neutral,1
Tengen Toppa Gurren Lagann Movie: Lagann-hen,positive,2
Hyouka,positive,2
Gatchaman Crowds,negative,0
Akikan!,negative,0
Love Stage!!,negative,0
Suzumiya Haruhi no Yuuutsu,positive,2
Devil May Cry,negative,0
Blood Lad,positive,2
Trinity Blood,negative,0
Bible Black Gaiden,negative,0
Nodame Cantabile Special,positive,2
Hanasaku Iroha,negative,0
Rokujouma no Shinryakusha!? (TV),positive,2
Kaichou wa Maid-sama!,negative,0
Neon Genesis Evangelion: The End of Evangelion,positive,2
Mahou Shoujo Lyrical Nanoha: The Movie 1st,positive,2
No Game No Life,positive,2
Fullmetal Alchemist,neutral,1
Azumanga Daioh,positive,2
Digimon Adventure,negative,0
Hidamari Sketch,negative,0
Clannad: After Story,positive,2
Major S1,negative,0
Inu x Boku SS,negative,0
To LOVE-Ru OVA,positive,2
Naruto,positive,2
Kino no Tabi: The Beautiful World - Tou no Kuni,negative,0
Heroic Age,neutral,1
Angel Beats!,positive,2
ReLIFE,positive,2
Kuttsukiboshi,neutral,1
Aa! Megami-sama!: Sorezore no Tsubasa,negative,0
Jin-Rou,positive,2
Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,negative,0
Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,negative,0
Toki wo Kakeru Shoujo,positive,2
Free!,positive,2
Sankarea,positive,2
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",positive,2
FLCL,negative,0
E&#039;s Otherwise,positive,2
Another: The Other - Inga,positive,2
Toaru Kagaku no Railgun S: Motto Marutto Railgun,neutral,1
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,positive,2
Yumekui Merry,neutral,1
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,positive,2
Slam Dunk,positive,2
Hanasakeru Seishounen,positive,2
Miss Monochrome: The Animation 3,positive,2
Mitsudomoe,positive,2
Mobile Suit Gundam 00,positive,2
Detective Conan Movie 15: Quarter of Silence,positive,2
Koi-ken!: Watashitachi Anime ni Nacchatta!,neutral,1
X OVA,neutral,1
Hetalia World Series,positive,2
Shinmai Maou no Testament,positive,2
Gunslinger Stratos,negative,0
Yokuwakaru Gendaimahou,positive,2
Petshop of Horrors,negative,0
Arad Senki: Slap Up Party,negative,0
Kuroko no Basket 2nd Season,positive,2
Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho,neutral,1
Kami nomi zo Shiru Sekai II,positive,2
Bokusatsu Tenshi Dokuro-chan 2,negative,0
Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,positive,2
Shiki,positive,2
Wasurenagumo,positive,2
Rizelmine,positive,2
Onegai☆Twins: Natsu wa Owaranai,positive,2
Danshi Koukousei no Nichijou Specials,positive,2
Hoshizora e Kakaru Hashi,negative,0
Oni Chichi: Re-born,positive,2
Munto: Toki no Kabe wo Koete,positive,2
Ore no Imouto ga Konnani Kawaii Wake ga Nai,positive,2
Cowboy Bebop,negative,0
Over Drive,positive,2
Inu x Boku SS,negative,0
Toaru Majutsu no Index II,positive,2
Seirei Tsukai no Blade Dance,neutral,1
Swing Out Sisters (2014),positive,2
Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,negative,0
IS: Infinite Stratos 2,positive,2
Love Hina Again,positive,2
Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,positive,2
Yu☆Gi☆Oh!,neutral,1
Tengen Toppa Gurren Lagann,positive,2
Clannad,positive,2
Zoku Natsume Yuujinchou,positive,2
R.O.D the TV,positive,2
Dragon Ball Z,negative,0
Date A Live II,positive,2
Kyou no 5 no 2 (TV),positive,2
B Gata H Kei,positive,2
Macross,positive,2
Sennen Joyuu,positive,2
Katanagatari,positive,2
Log Horizon 2nd Season,negative,0
Senkou no Night Raid,positive,2
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,positive,2
D-Frag! OVA,positive,2
Sankarea,negative,0
R-15,positive,2
Dragon Ball Movie 4: Saikyou e no Michi,positive,2
Ao no Exorcist,positive,2
Green Green OVA,neutral,1
Hotarubi no Mori e,positive,2
